<<<<<<< HEAD
<<<<<<< HEAD
index,condition,constructionYear,lat,length,lon,lrp,road
438,A,1992,21.77353392,15.7,92.08391447,LRP327A,N1
439,C,1960,21.77159434,300,92.08210995,LRP328A,N1
440,D,-1,21.77159434,294.15,92.08210995,LRP328A,N1
441,UK,-1,21.8256938,49.28002004,92.0723882,LRP329A,N1
442,B,1999,21.74014662,9.3,92.08262437,LRP331A,N1
443,A,1998,21.73856292,14,92.08318763,LRP332A,N1
444,A,1999,21.73260686,5.2,92.08374883,LRP332B,N1
445,A,1998,21.73098783,38.8,92.08381564,LRP332C,N1
446,C,-1,21.73098783,38.4,92.08381564,LRP332C,N1
447,A,1999,21.72407393,12.6,92.08354415,LRP333A,N1
448,A,1999,21.70925138,12.8,92.08067506,LRP335A,N1
449,A,1999,21.70283004,9.3,92.07864563,LRP336A,N1
450,A,1999,21.67627929,59.6,92.07680747,LRP339A,N1
451,C,-1,21.67627929,58.57,92.07680747,LRP339A,N1
452,A,1992,21.67210496,14,92.07639925,LRP339C,N1
453,A,1992,21.66294044,3.5,92.07507165,LRP340A,N1
454,A,1992,21.6600543,54.4,92.07510257,LRP341A,N1
455,C,-1,21.6600543,54.03,92.07510257,LRP341A,N1
456,C,1992,21.65085607,61,92.07356192,LRP342A,N1
457,C,-1,21.65085607,60.03,92.07356192,LRP342A,N1
458,A,1993,21.64808476,4.5,92.07332922,LRP342C,N1
459,B,1992,21.62253519,1.45,92.07370348,LRP345A,N1
460,B,1992,21.61837666,45.3,92.06917134,LRP346A,N1
461,A,-1,21.61837666,44.55,92.06917134,LRP346A,N1
462,A,1993,21.60651897,7,92.06230707,LRP347A,N1
463,A,1993,21.60517531,5.2,92.06211981,LRP347B,N1
464,A,1993,21.59859353,9.3,92.06180124,LRP348A,N1
465,A,1993,21.5960737,14,92.06140954,LRP348B,N1
466,A,1993,21.58943097,1.4,92.06303135,LRP349A,N1
467,C,1993,21.5876028,4.5,92.06490479,LRP349B,N1
468,A,1981,21.58307413,2.5,92.06571585,LRP350A,N1
469,A,1986,21.57440752,12.4,92.07074467,LRP351A,N1
470,A,1993,21.56232017,9.5,92.06981393,LRP352A,N1
471,A,1993,21.56030426,4.8,92.0691476,LRP353A,N1
472,A,1993,21.55948925,7,92.0689481,LRP353B,N1
473,A,1993,21.55542561,46,92.06795032,LRP354A,N1
474,A,-1,21.55542561,46,92.06795032,LRP354A,N1
475,C,1993,21.54706661,44.6,92.06689538,LRP354D,N1
476,A,-1,21.54706661,44.63,92.06689538,LRP354D,N1
477,A,1993,21.52552974,14,92.06532522,LRP357A,N1
478,A,1999,21.52373323,8,92.06557476,LRP357C,N1
479,A,1993,21.52077094,15.4,92.06614406,LRP357D,N1
480,A,1993,21.51950881,5,92.06667463,LRP357F,N1
481,A,1993,21.51374197,3,92.06934089,LRP358A,N1
482,A,1993,21.5104397,2.5,92.07086066,LRP358B,N1
483,A,1994,21.50650693,7.5,92.07330264,LRP359A,N1
484,A,1991,21.50513194,12.4,92.07444526,LRP359B,N1
485,A,1978,21.49575349,14,92.07767859,LRP360A,N1
486,A,1993,21.49486951,14.1,92.0783347,LRP360C,N1
487,UK,-1,21.5553056,47.6216707,92.067916,LRP362A,N1
488,UK,-1,21.5484719,43.53883439,92.0670827,LRP362C,N1
489,A,1993,21.47821307,7.2,92.09471518,LRP363B,N1
490,A,1993,21.47551645,14,92.09678665,LRP364A,N1
491,A,1993,21.47384463,3,92.09801259,LRP364C,N1
492,A,1993,21.47005553,57.6,92.10064022,LRP364D,N1
493,A,1993,21.47005553,57.6,92.10064022,LRP364D,N1
494,A,-1,21.47005553,57.65,92.10064022,LRP364D,N1
495,B,1997,21.46554153,14,92.10265669,LRP365A,N1
496,A,1996,21.45055694,9.2,92.09946814,LRP367A,N1
497,A,1993,21.44338656,1.5,92.10126788,LRP368A,N1
498,B,1998,21.44183897,58.6,92.10070836,LRP368C,N1
499,A,-1,21.44183897,58.6,92.10070836,LRP368C,N1
500,A,1981,21.43720096,3,92.09836727,LRP369A,N1
501,A,1995,21.43420846,2.5,92.09726071,LRP369B,N1
502,A,1997,21.43080876,7.2,92.09611829,LRP369C,N1
503,A,1997,21.42884003,3.5,92.09539139,LRP370A,N1
504,A,1995,21.4283516,12.8,92.09407143,LRP370C,N1
505,A,1995,21.42789598,18.8,92.08945082,LRP370E,N1
506,A,1995,21.42710638,8.2,92.08402582,LRP371A,N1
507,A,1997,21.42677471,7.4,92.08044274,LRP371C,N1
508,A,1995,21.4264716,12.4,92.0767771,LRP372A,N1
509,A,1990,21.42736545,9.4,92.07089348,LRP372C,N1
510,A,1978,21.427176,2,92.06344319,LRP373A,N1
511,A,1995,21.42730894,6.8,92.06106567,LRP373B,N1
512,A,1992,21.42783545,16.6,92.05796739,LRP374A,N1
513,A,1993,21.42802968,18.6,92.05575704,LRP374C,N1
514,A,1995,21.42805849,7.2,92.05322817,LRP374E,N1
515,A,1985,21.4275245,13,92.04864822,LRP375A,N1
516,A,-1,21.4275245,13,92.04864822,LRP375A,N1
517,A,1992,21.42944521,10.9,92.04438072,LRP375C,N1
518,A,1992,21.4297884,9.2,92.03959457,LRP376A,N1
519,A,1989,21.42940336,148.5,92.03188875,LRP377A,N1
520,C,-1,21.42940336,136.3,92.03188875,LRP377A,N1
521,A,1984,21.43032578,3.5,92.0296207,LRP377C,N1
522,A,1989,21.43015392,10.3,92.0283435,LRP377D,N1
523,A,1989,21.42649862,9,92.02388341,LRP377F,N1
524,C,1951,21.42306306,4.5,92.02678796,LRP378A,N1
525,C,1951,21.42267217,11.3,92.02729245,LRP378B,N1
526,C,1951,21.41940178,2.4,92.03168291,LRP379A,N1
527,B,1999,21.41702324,7.2,92.03472607,LRP379B,N1
528,C,1952,21.41611676,8.1,92.03593571,LRP379C,N1
529,A,1996,21.41425993,10.9,92.03867369,LRP380A,N1
530,A,1996,21.41249684,8.3,92.03952685,LRP380C,N1
531,B,1952,21.41100293,8.3,92.04433796,LRP380E,N1
532,B,1980,21.41024886,2.2,92.04803668,LRP381A,N1
533,A,1995,21.41029819,8.2,92.04966222,LRP381B,N1
534,A,1968,21.40992368,1.9,92.05188844,LRP381C,N1
535,A,1979,21.40883992,3,92.05502381,LRP382A,N1
536,A,1978,21.40795741,2.8,92.05601249,LRP382B,N1
537,D,1952,21.40636071,10,92.05804678,LRP382C,N1
538,A,1952,21.40414992,1.6,92.0618387,LRP383A,N1
539,A,1992,21.40200937,3.6,92.06474063,LRP383B,N1
540,C,1951,21.4001879,8,92.06608292,LRP383C,N1
541,C,1951,21.3987859,1.3,92.06652655,LRP383D,N1
542,A,1996,21.39501442,8.3,92.06758841,LRP384A,N1
543,C,1954,21.39085551,22,92.0684757,LRP384B,N1
544,C,1952,21.3888052,2.7,92.0689623,LRP385A,N1
545,B,1973,21.38745385,2.7,92.06971629,LRP385B,N1
546,C,1952,21.3862186,2.9,92.07028849,LRP385C,N1
547,C,1951,21.38564113,1.8,92.07045432,LRP385D,N1
548,B,1951,21.38440646,2.8,92.07052234,LRP385E,N1
549,B,1951,21.38310508,1.8,92.07088092,LRP385F,N1
550,A,1951,21.38290767,1.7,92.07095108,LRP385G,N1
551,A,1951,21.38084224,0.8,92.07099827,LRP386A,N1
552,B,1951,21.37961878,1.5,92.07061304,LRP386B,N1
553,A,1951,21.3793128,1.5,92.07049139,LRP386C,N1
554,C,1951,21.37785109,2.2,92.07035482,LRP386D,N1
555,A,1951,21.37688823,1.5,92.07112233,LRP386E,N1
556,A,1951,21.37627929,3,92.07174583,LRP386F,N1
557,C,1951,21.37508506,2.4,92.0730283,LRP386G,N1
558,A,1951,21.37453724,1.3,92.07406151,LRP387A,N1
559,A,1951,21.37438002,1.3,92.07486174,LRP387B,N1
560,C,1951,21.37379576,1.3,92.07662366,LRP387C,N1
561,C,1951,21.37241685,1.3,92.0778931,LRP387D,N1
562,A,1951,21.37069027,1.3,92.07906728,LRP387E,N1
563,A,1951,21.36974364,1.3,92.07964348,LRP387F,N1
564,A,1951,21.36864522,1.3,92.0800515,LRP388A,N1
565,B,1951,21.36759924,1.3,92.08046867,LRP388B,N1
566,C,1951,21.3649268,7.1,92.08136173,LRP388C,N1
567,B,1951,21.36410023,1.3,92.08133161,LRP388D,N1
568,B,1951,21.36130043,1.6,92.08054409,LRP388E,N1
569,A,1998,21.3604702,2.5,92.08015261,LRP389A,N1
570,A,1951,21.35972779,1.3,92.07980254,LRP389B,N1
571,C,1951,21.35874588,2.2,92.07933953,LRP389C,N1
572,A,1998,21.3562553,4,92.0790827,LRP389D,N1
573,A,1998,21.3500252,21.5,92.07843429,LRP390A,N1
574,C,-1,21.3500252,21.5,92.07843429,LRP390A,N1
575,C,1951,21.34533221,11.3,92.07897034,LRP390C,N1
576,A,1998,21.34208932,14.1,92.07885388,LRP391A,N1
577,B,1951,21.33655661,2.3,92.0789637,LRP391C,N1
578,C,1951,21.33383908,24.1,92.07904286,LRP392A,N1
579,C,1952,21.3269177,45.6,92.08197087,LRP393A,N1
580,C,1951,21.32378693,5,92.08574298,LRP393C,N1
581,D,1951,21.32110878,11.2,92.08888364,LRP394A,N1
582,B,1951,21.32058313,1.3,92.08949676,LRP394C,N1
583,C,1952,21.31620967,49.3,92.09395927,LRP394E,N1
584,B,1951,21.30822684,2.4,92.09726483,LRP395A,N1
585,C,1951,21.30351652,2.3,92.09684875,LRP396A,N1
586,D,1952,21.29974536,61.3,92.09747726,LRP396B,N1
587,A,2000,21.2887748,14.1,92.09995497,LRP398A,N1
588,B,1990,21.28755005,11,92.10006239,LRP398B,N1
589,A,1998,21.28373823,10.3,92.10055463,LRP398D,N1
590,UK,-1,21.3463608,24.82666689,92.0790271,LRP399A,N1
591,A,1989,21.27400579,14,92.10442234,LRP400A,N1
592,A,1958,21.27389217,23.5,92.10447857,LRP400B,N1
593,A,1958,21.27161164,23.5,92.10560708,LRP400C,N1
594,C,1961,21.26764127,11.1,92.10915299,LRP400E,N1
595,C,1953,21.26713354,50.6,92.10987205,LRP401A,N1
596,C,1958,21.26558335,11.5,92.11206748,LRP401C,N1
597,C,1958,21.26004737,6.6,92.11898609,LRP402A,N1
598,A,1958,21.25862422,2.4,92.12071798,LRP402B,N1
599,A,1951,21.2570551,17,92.1224165,LRP402C,N1
600,A,1951,21.25520644,2.4,92.12438721,LRP403A,N1
601,C,1952,21.2538028,11.1,92.12659709,LRP403B,N1
602,C,1951,21.2504537,8.5,92.1307493,LRP403D,N1
603,C,1958,21.24896449,2.4,92.13284109,LRP404A,N1
604,B,1964,21.24572626,20.7,92.13730421,LRP404B,N1
605,UK,-1,21.2956386,70.9179,92.0993886,LRP405B,N1
606,UK,-1,21.28277751,12.46614438,92.10067986,LRP407B,N1
607,A,1958,21.23087848,2,92.16075715,LRP408A,N1
608,C,1951,21.22931553,11.3,92.16135615,LRP408B,N1
609,B,1978,21.22151998,2.2,92.16170326,LRP409A,N1
610,C,1967,21.21896008,10.9,92.16207776,LRP409B,N1
611,C,1953,21.21737605,2.1,92.16248399,LRP409D,N1
612,A,1953,21.21601159,2,92.16366416,LRP410A,N1
613,A,1968,21.21493596,1.8,92.1655512,LRP410B,N1
614,A,1958,21.21443086,2.2,92.16640674,LRP410C,N1
615,A,1984,21.20630473,6.4,92.17001802,LRP411A,N1
616,A,1951,21.20434099,2.2,92.17035673,LRP411B,N1
617,A,1973,21.20196717,3.1,92.17040067,LRP412A,N1
618,A,1967,21.19763242,39.3,92.17057726,LRP412B,N1
619,C,-1,21.19763242,38.7,92.17057726,LRP412B,N1
620,A,1964,21.19531553,3,92.17050747,LRP412D,N1
621,B,1951,21.1907731,9.4,92.16807032,LRP413A,N1
622,A,-1,21.1907731,9.4,92.16807032,LRP413A,N1
623,D,1978,21.18889194,15.4,92.16587736,LRP413B,N1
624,D,-1,21.18889194,15.4,92.16587736,LRP413B,N1
625,A,1978,21.18397443,1.2,92.15930264,LRP414A,N1
626,C,1951,21.17970671,3.1,92.15783106,LRP415A,N1
627,B,1951,21.17741716,3.1,92.15703721,LRP415B,N1
628,C,1978,21.17542081,48.8,92.15625261,LRP415C,N1
629,D,-1,21.17542081,48.2,92.15625261,LRP415C,N1
630,C,1978,21.17248281,9.4,92.15529403,LRP416A,N1
631,A,-1,21.17248281,9.4,92.15529403,LRP416A,N1
632,B,1951,21.17037235,31.1,92.15473878,LRP416B,N1
633,A,-1,21.17037235,21.5,92.15473878,LRP416B,N1
634,B,1958,21.16882136,9.4,92.1536624,LRP416D,N1
635,C,-1,21.16882136,9.4,92.1536624,LRP416D,N1
636,A,1951,21.16823293,3,92.15314598,LRP416E,N1
637,B,1978,21.16666535,9.3,92.15233765,LRP416F,N1
638,C,1978,21.16557256,3,92.1522082,LRP417A,N1
639,A,1978,21.16498781,4.6,92.15219007,LRP417B,N1
640,C,1978,21.16197574,1.25,92.15233147,LRP417C,N1
641,A,1951,21.1602045,3,92.15252572,LRP417D,N1
642,C,1951,21.15845347,3,92.15251956,LRP417E,N1
643,C,1951,21.15246328,9.4,92.15341459,LRP418A,N1
644,C,1951,21.14989065,15.2,92.15521562,LRP418B,N1
645,C,-1,21.14989065,15.2,92.15521562,LRP418B,N1
646,C,1978,21.14776767,58,92.15704263,LRP419A,N1
647,A,-1,21.14776767,57.6,92.15704263,LRP419A,N1
648,B,1978,21.14254625,3.3,92.15942922,LRP419C,N1
649,C,1978,21.14086477,15.4,92.16052223,LRP420A,N1
650,C,-1,21.14086477,15.4,92.16052223,LRP420A,N1
651,A,1975,21.14021046,3.3,92.1615531,LRP420C,N1
652,A,1951,21.13888718,3.3,92.16363791,LRP420D,N1
653,A,1951,21.1380665,1.2,92.1651978,LRP420E,N1
654,C,1951,21.13792108,32,92.16635342,LRP420F,N1
655,D,1951,21.13761246,12.3,92.16805871,LRP421A,N1
656,D,-1,21.13761246,12.3,92.16805871,LRP421A,N1
657,C,1951,21.13733505,1.2,92.17001121,LRP421C,N1
658,B,1951,21.13661254,15.2,92.17450278,LRP421D,N1
659,C,-1,21.13661254,15.2,92.17450278,LRP421D,N1
660,A,1951,21.1360413,4.8,92.17605699,LRP421F,N1
661,C,1978,21.13491492,1.3,92.17793796,LRP422A,N1
662,A,1951,21.1342388,3.3,92.17915872,LRP422B,N1
663,B,1951,21.13189689,4.7,92.18469174,LRP422C,N1
664,C,1951,21.12997372,1.2,92.18681585,LRP423A,N1
665,B,1951,21.1297681,7.9,92.187047,LRP423B,N1
666,D,-1,21.1297681,7.9,92.187047,LRP423B,N1
667,A,1951,21.12900608,1.2,92.18790361,LRP423C,N1
668,A,1970,21.12832269,1.2,92.18867184,LRP423D,N1
669,B,1951,21.12785701,1.2,92.18919533,LRP423E,N1
670,A,1978,21.12510369,6.4,92.19136747,LRP424A,N1
671,D,-1,21.12510369,6.4,92.19136747,LRP424A,N1
672,A,1978,21.12376049,3.35,92.19215889,LRP424B,N1
673,C,1974,21.12291081,13,92.19272235,LRP424C,N1
674,C,-1,21.12291081,13,92.19272235,LRP424C,N1
675,A,1984,21.12253472,3.2,92.19296056,LRP424E,N1
676,C,1981,21.12156989,73.3,92.19351697,LRP424G,N1
677,B,-1,21.12156989,72.6,92.19351697,LRP424G,N1
678,A,1984,21.11846094,3.4,92.19629223,LRP425A,N1
679,A,1985,21.11597435,2.8,92.19707449,LRP425B,N1
680,B,1976,21.11455805,12.8,92.19802083,LRP425C,N1
681,D,-1,21.11455805,12.8,92.19802083,LRP425C,N1
682,A,1967,21.11189301,1.2,92.2005928,LRP425E,N1
683,A,1986,21.11081015,1.2,92.20209569,LRP426A,N1
684,A,1978,21.10988389,1.2,92.20337965,LRP426B,N1
685,A,1993,21.10877134,2.8,92.20483787,LRP426C,N1
686,A,1976,21.10831653,2.8,92.20533398,LRP426D,N1
687,A,1964,21.1078333,1.2,92.2061073,LRP426E,N1
688,C,1976,21.10529443,1.2,92.20739816,LRP427A,N1
689,A,1976,21.10202957,34.2,92.20793946,LRP427B,N1
690,C,-1,21.10202957,34.2,92.20793946,LRP427B,N1
691,A,1999,21.10057741,3,92.20857805,LRP427D,N1
692,A,1999,21.09887103,1.2,92.20965792,LRP427E,N1
693,A,1964,21.09503127,2.7,92.2114601,LRP428A,N1
694,A,1966,21.09444522,2.7,92.21167626,LRP428B,N1
695,A,1993,21.09238273,4.2,92.21231115,LRP428C,N1
696,A,1986,21.09052602,2.7,92.21288459,LRP428D,N1
697,A,1976,21.08886703,1.2,92.21369557,LRP429A,N1
698,A,1964,21.08695915,2.8,92.21483637,LRP429B,N1
699,A,1984,21.0864997,1.2,92.2151111,LRP429C,N1
700,B,1986,21.0844125,14,92.21591985,LRP429D,N1
701,A,-1,21.0844125,14,92.21591985,LRP429D,N1
702,A,1966,21.08224195,1.2,92.21660122,LRP429F,N1
703,A,1984,21.08044299,1,92.21740407,LRP430A,N1
704,A,1978,21.07922435,1,92.2181233,LRP430B,N1
705,A,1978,21.07728257,3,92.21993007,LRP430C,N1
706,C,1968,21.07571716,6.1,92.2214354,LRP430D,N1
707,A,1974,21.07417778,5.8,92.22224894,LRP431A,N1
708,A,1962,21.07249295,1.3,92.22351281,LRP431B,N1
709,B,1978,21.07123188,5.8,92.22429237,LRP431C,N1
710,C,1974,21.06953633,7.5,92.22456877,LRP431D,N1
711,C,-1,21.06953633,7.5,92.22456877,LRP431D,N1
712,A,1964,21.06503985,1.2,92.22453455,LRP432A,N1
713,B,1978,21.05987366,30.9,92.22638221,LRP432B,N1
714,C,-1,21.05987366,30.9,92.22638221,LRP432B,N1
715,C,1980,21.05798976,1.2,92.22650905,LRP433A,N1
716,B,1970,21.05629435,9.4,92.22664528,LRP433B,N1
717,D,-1,21.05629435,9.4,92.22664528,LRP433B,N1
718,B,1976,21.05428676,11.8,92.2274587,LRP433C,N1
719,C,-1,21.05428676,11.8,92.2274587,LRP433C,N1
720,C,1964,21.05194066,2.8,92.2296965,LRP433D,N1
721,C,1954,21.05084861,1.2,92.23351314,LRP434A,N1
722,C,1965,21.04645985,31.7,92.23512064,LRP434B,N1
723,C,1952,21.0422652,1.2,92.23675521,LRP435A,N1
724,C,1952,21.04044085,1.2,92.23765412,LRP435B,N1
725,A,1984,21.03764496,6.2,92.23905203,LRP435C,N1
726,B,1978,21.03403085,32.1,92.24070637,LRP436A,N1
727,C,-1,21.03403085,32.1,92.24070637,LRP436A,N1
728,A,1976,21.02795447,4.4,92.24158582,LRP437A,N1
729,A,1968,21.02565987,2.9,92.24180417,LRP437B,N1
730,A,1962,21.01980875,2.8,92.24281403,LRP438A,N1
731,A,1974,21.01734176,2.8,92.24383848,LRP438B,N1
732,A,1966,21.01592903,1.9,92.2447567,LRP438C,N1
733,B,1978,21.00976865,45.6,92.24953772,LRP439A,N1
734,C,-1,21.00976865,45.6,92.24953772,LRP439A,N1
735,B,1967,21.0058253,2.8,92.25227984,LRP439C,N1
736,C,1956,20.9994059,12.5,92.25372143,LRP440A,N1
737,C,-1,20.9994059,12.5,92.25372143,LRP440A,N1
738,C,1975,20.98935826,29.9,92.25457123,LRP441A,N1
739,C,-1,20.98935826,29.9,92.25457123,LRP441A,N1
740,C,1962,20.98133172,1.2,92.25211348,LRP442A,N1
741,C,1966,20.97902798,36.6,92.25122285,LRP443A,N1
742,A,-1,20.97902798,36.6,92.25122285,LRP443A,N1
743,A,1985,20.97593722,2.8,92.24998987,LRP443C,N1
744,B,1976,20.97327818,30.4,92.24937612,LRP443D,N1
745,C,-1,20.97327818,30.4,92.24937612,LRP443D,N1
746,A,1985,20.96915708,1.2,92.2486529,LRP444A,N1
747,B,1973,20.96785342,8.8,92.24897209,LRP444B,N1
748,B,-1,20.96785342,8.8,92.24897209,LRP444B,N1
749,A,1987,20.96556859,1.2,92.25087239,LRP444C,N1
750,A,1987,20.96496789,1.2,92.25142887,LRP444D,N1
751,A,1973,20.96418928,1.2,92.25188177,LRP444E,N1
752,A,1973,20.96418928,1.2,92.25188177,LRP444E,N1
753,A,1985,20.96142314,9.2,92.25325399,LRP445A,N1
754,A,-1,20.96142314,9.2,92.25325399,LRP445A,N1
755,B,1972,20.959945,41.75,92.25371874,LRP445B,N1
756,C,-1,20.959945,41.75,92.25371874,LRP445B,N1
757,A,1972,20.95710001,1.2,92.25465266,LRP445D,N1
758,A,1982,20.95493884,7.5,92.25553125,LRP446A,N1
759,A,-1,20.95493884,7.5,92.25553125,LRP446A,N1
760,A,1990,20.94914513,35.5,92.25842089,LRP446B,N1
761,C,1990,20.94914513,37.2,92.25842089,LRP446B,N1
762,A,1973,20.94815369,1.5,92.25926333,LRP446D,N1
763,A,1973,20.94709479,2.7,92.25978831,LRP447A,N1
764,A,1973,20.94585079,1.2,92.2603333,LRP447B,N1
765,C,1974,20.94278852,38.6,92.26059681,LRP447C,N1
766,C,-1,20.94278852,38,92.26059681,LRP447C,N1
767,B,1974,20.93730526,51,92.26237497,LRP448A,N1
768,B,-1,20.93730526,49.6,92.26237497,LRP448A,N1
769,B,1973,20.93242603,13.5,92.2636134,LRP448C,N1
770,A,-1,20.93242603,13.5,92.2636134,LRP448C,N1
771,B,1974,20.93187577,13.5,92.26371263,LRP449A,N1
772,A,-1,20.93187577,13.5,92.26371263,LRP449A,N1
773,A,1974,20.93039968,2.7,92.2639788,LRP449C,N1
774,C,1973,20.92813739,34.8,92.2643012,LRP449D,N1
775,C,-1,20.92813739,34.1,92.2643012,LRP449D,N1
776,D,1972,20.92538903,2.7,92.26494516,LRP449F,N1
777,B,1981,20.92092765,37.6,92.26745281,LRP450A,N1
778,C,-1,20.92092765,37.6,92.26745281,LRP450A,N1
779,A,1987,20.9188882,1.2,92.26870765,LRP450C,N1
780,A,1984,20.91799614,6,92.26910089,LRP450D,N1
781,A,-1,20.91799614,6,92.26910089,LRP450D,N1
782,A,1986,20.9167065,6,92.26985714,LRP450E,N1
783,C,-1,20.9167065,6,92.26985714,LRP450E,N1
784,B,1973,20.91537072,1.2,92.27072397,LRP451A,N1
785,A,1987,20.91463508,2.8,92.2712067,LRP451B,N1
786,B,1981,20.91267516,34.3,92.27272112,LRP451C,N1
787,A,-1,20.91267516,33.7,92.27272112,LRP451C,N1
788,A,1978,20.9116243,1.3,92.2733424,LRP451E,N1
789,C,1965,20.9104285,23.7,92.2741396,LRP451F,N1
790,A,-1,20.9104285,29.3,92.2741396,LRP451F,N1
791,A,1972,20.90982312,10.6,92.27454319,LRP451H,N1
792,A,-1,20.90982312,10.6,92.27454319,LRP451H,N1
793,A,1993,20.90945691,10.6,92.27478733,LRP451I,N1
794,A,-1,20.90945691,10.6,92.27478733,LRP451I,N1
795,A,1972,20.90803213,30,92.27569059,LRP452A,N1
796,C,-1,20.90803213,29.3,92.27569059,LRP452A,N1
797,A,1979,20.90744796,2.8,92.27605905,LRP452C,N1
798,A,1981,20.90597715,2.8,92.27708556,LRP452D,N1
799,A,1986,20.90530514,2.8,92.2775739,LRP452E,N1
800,C,1984,20.90457186,17.5,92.27807684,LRP452F,N1
801,A,-1,20.90457186,17.5,92.27807684,LRP452F,N1
802,C,1983,20.90369126,8.3,92.27869323,LRP452H,N1
803,A,-1,20.90369126,8.3,92.27869323,LRP452H,N1
804,B,1983,20.90320277,6.1,92.27904466,LRP452I,N1
805,A,-1,20.90320277,6.1,92.27904466,LRP452I,N1
806,B,1974,20.90188493,23,92.27987359,LRP452J,N1
807,A,-1,20.90188493,23,92.27987359,LRP452J,N1
808,B,1973,20.89709885,15.1,92.28506077,LRP453A,N1
809,A,-1,20.89709885,15.1,92.28506077,LRP453A,N1
810,A,1982,20.89508961,9,92.28795238,LRP454A,N1
811,A,-1,20.89508961,9,92.28795238,LRP454A,N1
812,B,1973,20.89227111,9,92.29098403,LRP454B,N1
813,A,-1,20.89227111,9,92.29098403,LRP454B,N1
814,B,1978,20.89015845,37.3,92.29571808,LRP455A,N1
815,C,-1,20.89015845,37.3,92.29571808,LRP455A,N1
816,A,1991,20.88456672,1.5,92.29871589,LRP456A,N1
817,C,1989,20.88307045,1.5,92.29816296,LRP456B,N1
818,C,1985,20.88098522,35.9,92.2977774,LRP456C,N1
819,C,-1,20.88098522,35.9,92.2977774,LRP456C,N1
820,UK,-1,20.9238882,48.75594956,92.2653889,LRP457A,N1
821,UK,-1,20.9195827,10.85642502,92.268416,LRP457C,N1
822,UK,-1,20.9157222,39.2875035,92.2704993,LRP458B,N1
823,UK,-1,20.9088889,41.97508217,92.275166,LRP459A,N1
824,UK,-1,20.9003333,35.47636906,92.2807216,LRP460D,N1
825,UK,-1,20.8984719,41.73375384,92.2828604,LRP460G,N1
826,UK,-1,20.8969163,32.2586092,92.2854441,LRP461C,N1
827,UK,-1,20.894083,20.93891586,92.2887774,LRP461H,N1
828,UK,-1,20.8919163,14.49759763,92.2916663,LRP462A,N1
829,UK,-1,20.8889163,16.91805605,92.2982497,LRP463A,N1
830,UK,-1,20.8768604,40.0821,92.2978886,LRP465A,N1
831,UK,-1,20.8650278,40.48131976,92.2982497,LRP466B,N1
=======
=======
>>>>>>> a55fd8e90ff598b946e83e692c8aff999543845a
,condition,constructionYear,lat,length,lon,lrp,road
0,A,2005,23.69873866,11.3,90.45886108,LRP001A,N1
1,A,2006,23.69466384,6.6,90.48777492,LRP004B,N1
2,C,1986,23.70505989,397,90.52321415,LRP008B,N1
3,A,,23.70505989,394.23,90.52321415,LRP008B,N1
4,B,1987,23.69640009,8,90.53509898,LRP010A,N1
5,A,1992,23.69439061,6.3,90.53757408,LRP010B,N1
6,A,1984,23.69430239,6.3,90.53770737,LRP010C,N1
7,A,1986,23.69236015,8.3,90.54091839,LRP011A,N1
8,B,1986,23.69091193,10.6,90.5454625,LRP011C,N1
9,A,1986,23.68841233,9.3,90.54855853,LRP012A,N1
10,A,1987,23.68831973,6.1,90.54864981,LRP012B,N1
11,A,2003,23.68558303,26.3,90.55120798,LRP013A,N1
12,A,2003,23.68558303,26.3,90.55120798,LRP013A,N1
13,A,,23.68558303,27.5,90.55120798,LRP013A,N1
14,A,,23.68536198,27.5,90.55135918,LRP013B,N1
15,A,2003,23.6778035,11.9,90.55581943,LRP014A,N1
16,B,2003,23.66330907,5.55,90.56385699,LRP016A,N1
17,B,1998,23.65442571,159.5,90.57673023,LRP017B,N1
18,C,,23.65442571,159.52,90.57673023,LRP017B,N1
19,B,2002,23.65157057,20,90.58149439,LRP018A,N1
20,B,2002,23.65157057,20,90.58149439,LRP018A,N1
21,A,,23.65397226,20.5,90.57741042,LRP018A,N1
22,A,,23.65397226,20.45,90.57741042,LRP018B,N1
23,B,2003,23.6497544,24.5,90.58454901,LRP018C,N1
24,B,2003,23.6497544,24.5,90.58454901,LRP018C,N1
25,A,,23.6497544,25.5,90.58454901,LRP018C,N1
26,B,,23.6497544,25.5,90.58454901,LRP018D,N1
27,C,2001,23.64596859,40.5,90.58921198,LRP019A,N1
28,B,2001,23.64596859,40.5,90.58921198,LRP019A,N1
29,B,,23.64596859,40.4,90.58921198,LRP019A,N1
30,B,,23.64596859,40.33,90.58921198,LRP019B,N1
31,A,2001,23.63795437,6,90.5936674,LRP020A,N1
32,B,2003,23.63380522,10.4,90.59739409,LRP020B,N1
33,A,2000,23.62846685,89.2,90.60230157,LRP021C,N1
34,A,,23.62846685,86.92,90.60230157,LRP021C,N1
35,A,,23.62846685,89.75,90.60230157,LRP021D,N1
36,B,2002,23.61988322,5.5,90.60835289,LRP022A,N1
37,A,2004,23.6176408,224.8,90.60955061,LRP023A,N1
38,B,2000,23.6176408,213.5,90.60955061,LRP023A,N1
39,B,,23.6176408,214.09,90.60955061,LRP023A,N1
40,B,,23.6176408,224.82,90.60955061,LRP023B,N1
41,A,2000,23.61358738,120.1,90.61090296,LRP023C,N1
42,B,2000,23.61358738,116.8,90.61090296,LRP023C,N1
